"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-26","0.00","90","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-27","0.00","92","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-28","0.00","89","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-29","0.00","81","65"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-30","0.00","83","61"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-31","0.00","82","63"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-01","0.00","80","60"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-02","0.00","79","57"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-03","0.00","78","54"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-04","0.00","81","58"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-05","0.00","84","60"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-06","0.00","84","61"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-07","0.00","87","65"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-08","0.00","84","67"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-09","0.01","84","70"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-10","0.00","82",
"ASN00014015","DARWIN AIRPORT, AS","2000-06-11","0.00","80","62"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-12","0.00","79","60"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-13","0.00","80","60"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-14","0.00","84","64"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-15","0.00","84","71"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-16","0.00","85","69"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-17","0.00","87","69"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-18","0.00","87","67"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-19","0.00","88","69"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-20","0.00","88","68"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-21","0.00","90","69"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-22","0.00","91","70"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-23","0.00","90","70"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-24","0.00","88","68"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-25","0.00","88","65"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-26","0.00","87","68"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-27","0.00","85","66"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-28","0.00","85","65"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-29","0.00","87","67"
"ASN00014015","DARWIN AIRPORT, AS","2000-06-30","0.00","81","69"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-01","0.00","84","64"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-02","0.00","84","65"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-03","0.00","89","70"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-04","0.00","89","71"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-05","0.00","88","69"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-06","0.00","88","67"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-07","0.00","86","66"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-08","0.00","83","66"
